dataset,image,psnr_db,ssim,rmse
LC25000,lungaca478.jpeg,17.14019111454881,0.8586773936272425,35.443012239173335
LC25000,lungaca272.jpeg,15.98314518461601,0.9031554171195602,40.49327670693551
LC25000,lungaca491.jpeg,15.222102024210713,0.8289217817100396,44.20130373472189
LC25000,lungaca435.jpeg,16.58867817165419,0.8789318317258098,37.76645941382375
LC25000,lungaca224.jpeg,16.70689910878935,0.9300618847941623,37.25591422097742
LC25000,lungaca296.jpeg,14.672779595412868,0.9256223445984838,47.08701941240769
LC25000,lungaca373.jpeg,16.62684471845691,0.8634179705984767,37.60087440381823
LC25000,lungaca444.jpeg,14.930525100707925,0.8485264936856759,45.710284611531534
LC25000,lungaca16.jpeg,16.8011755316746,0.9280810420606921,36.853726103757246
LC25000,lungaca185.jpeg,16.72913161181238,0.9260327597692486,37.16067549348684
LC25000,lungaca456.jpeg,15.100278844500393,0.88957555175841,44.8256130890411
LC25000,lungaca421.jpeg,16.273184935250505,0.9454290303002925,39.163449173745335
LC25000,lungaca344.jpeg,15.833004698129553,0.8755473525183808,41.199310278306
LC25000,lungaca30.jpeg,14.973345094985035,0.8464210980947954,45.48549503805449
LC25000,lungaca493.jpeg,15.174082229520867,0.829413258314298,44.446346632199734
LC25000,lungaca310.jpeg,15.126025319590148,0.8758023268966363,44.692938971639656
LC25000,lungaca495.jpeg,15.287826079857092,0.8471071013783447,43.86810521630626
LC25000,lungaca483.jpeg,15.498340289768455,0.9011101973218437,42.81768333488877
LC25000,lungaca174.jpeg,18.105972297500955,0.905887196941491,31.713309469152787
LC25000,lungaca18.jpeg,13.939347976249651,0.8986396667600144,51.23571268884249
LC25000,lungaca19.jpeg,14.02150673142501,0.8680793070199274,50.7533652517962
LC25000,lungaca417.jpeg,17.11556505838348,0.9148441034516345,35.54364212506994
LC25000,lungaca347.jpeg,14.941559528069174,0.8620943322153064,45.65225180326243
LC25000,lungaca425.jpeg,14.244668051198548,0.9018714971322699,49.46599825909884
LC25000,lungaca419.jpeg,16.53056079816661,0.8951995867131136,38.02000245090743
LC25000,lungaca27.jpeg,16.650372964250007,0.8396435559025422,37.49915937823721
LC25000,lungaca197.jpeg,15.813293584095952,0.8875176604059675,41.292911104041686
LC25000,lungaca353.jpeg,16.5921973150398,0.8604203505804483,37.75116119208189
LC25000,lungaca94.jpeg,15.352160459431852,0.8349796656451153,43.544384628877346
LC25000,lungaca451.jpeg,16.385299264598018,0.8384956347456433,38.661189966647754
LC25000,lungaca461.jpeg,16.45706402410432,0.8512077710091487,38.34307854660471
LC25000,lungaca455.jpeg,16.2317940609099,0.8465167168184916,39.350520148854756
LC25000,lungaca361.jpeg,13.879256425155562,0.9069979046398388,51.591405463929725
LC25000,lungaca308.jpeg,15.480687024383652,0.8970723602605442,42.9047947994652
LC25000,lungaca14.jpeg,16.038986726545822,0.8644839886176503,40.233780672525185
LC25000,lungaca220.jpeg,17.067522623636503,0.9169785878823578,35.74078189435342
LC25000,lungaca43.jpeg,16.526568734814028,0.917392979505706,38.03748058487089
LC25000,lungaca440.jpeg,18.34985944963384,0.9482354320002685,30.835231120039836
LC25000,lungaca6.jpeg,14.746184853513999,0.8429861146235612,46.690759422004106
LC25000,lungaca398.jpeg,14.538924875230759,0.9017102948431542,47.8182784552746
LC25000,lungaca356.jpeg,17.420647065083326,0.9101993416952835,34.31688245858109
LC25000,lungaca12.jpeg,15.863096469572522,0.8557487117354725,41.056824566596674
LC25000,lungaca9.jpeg,16.90542504661525,0.9038147711599134,36.41404529625598
LC25000,lungaca332.jpeg,14.13544722571864,0.9044471639816978,50.09193624391732
LC25000,lungaca441.jpeg,14.700262789199009,0.8998345415278433,46.93826591166682
LC25000,lungaca181.jpeg,15.58911017151593,0.9100696067381008,42.372556929595035
LC25000,lungaca433.jpeg,16.242474667998994,0.8166564127472116,39.302162506224185
LC25000,lungaca232.jpeg,15.687935633701347,0.907492979715602,41.89318684846481
LC25000,lungaca46.jpeg,15.048008031252175,0.9210749484561017,45.09618244878978
LC25000,lungaca476.jpeg,15.498631802180828,0.8996551773069285,42.81624632875266
LC25000,lungaca277.jpeg,15.800675459879134,0.8856770850254244,41.35294153815378
LC25000,lungaca304.jpeg,14.72108203026248,0.8196416303533227,46.825894134113845
LC25000,lungaca249.jpeg,15.963729205647319,0.893344856308075,40.58389448247489
LC25000,lungaca155.jpeg,14.912226290260636,0.8282000397500928,45.806685276004586
LC25000,lungaca312.jpeg,15.664641779478288,0.9116491809999093,42.0056869518459
LC25000,lungaca56.jpeg,17.883301925212322,0.9094316846388413,32.53681846079967
LC25000,lungaca500.jpeg,17.039260851596055,0.9057717988909042,35.85726310268996
